,0,1,2
280,0.56078434,0.56078434,0.56078434
281,0.56078434,0.56078434,0.56078434
282,0.56078434,0.56078434,0.56078434
283,0.56078434,0.56078434,0.56078434
284,0.5568628,0.5568628,0.5568628
285,0.5568628,0.5568628,0.5568628
286,0.5568628,0.5568628,0.5568628
287,0.5568628,0.5568628,0.5568628
288,0.5411765,0.5411765,0.5411765
289,0.53333336,0.53333336,0.53333336
290,0.5254902,0.5254902,0.5254902
291,0.5294118,0.5294118,0.5294118
292,0.53333336,0.53333336,0.53333336
293,0.54509807,0.54509807,0.54509807
294,0.5686275,0.5686275,0.5686275
295,0.59607846,0.59607846,0.59607846
296,0.61960787,0.61960787,0.61960787
297,0.6509804,0.6509804,0.6509804
298,0.6784314,0.6784314,0.6784314
299,0.6784314,0.6784314,0.6784314
300,0.68235296,0.68235296,0.68235296
301,0.69411767,0.69411767,0.69411767
302,0.7019608,0.7019608,0.7019608
303,0.69803923,0.69803923,0.69803923
304,0.70980394,0.70980394,0.70980394
305,0.7058824,0.7058824,0.7058824
306,0.7058824,0.7058824,0.7058824
307,0.7058824,0.7058824,0.7058824
308,0.7019608,0.7019608,0.7019608
309,0.6901961,0.6901961,0.6901961
310,0.6745098,0.6745098,0.6745098
311,0.65882355,0.65882355,0.65882355
312,0.65882355,0.65882355,0.65882355
313,0.6666667,0.6666667,0.6666667
314,0.6745098,0.6745098,0.6745098
315,0.6666667,0.6666667,0.6666667
316,0.64705884,0.64705884,0.64705884
317,0.62352943,0.62352943,0.62352943
318,0.6156863,0.6156863,0.6156863
319,0.6156863,0.6156863,0.6156863
320,0.627451,0.627451,0.627451
321,0.5882353,0.5882353,0.5882353
322,0.5686275,0.5686275,0.5686275
323,0.5568628,0.5568628,0.5568628
324,0.5254902,0.5254902,0.5254902
325,0.5019608,0.5019608,0.5019608
326,0.50980395,0.50980395,0.50980395
327,0.5176471,0.5176471,0.5176471
328,0.49411765,0.49411765,0.49411765
329,0.48235294,0.48235294,0.48235294
330,0.46666667,0.46666667,0.46666667
331,0.4509804,0.4509804,0.4509804
332,0.42745098,0.42745098,0.42745098
333,0.40392157,0.40392157,0.40392157
334,0.38039216,0.38039216,0.38039216
335,0.3647059,0.3647059,0.3647059
336,0.34117648,0.34117648,0.34117648
337,0.34117648,0.34117648,0.34117648
338,0.34901962,0.34901962,0.34901962
339,0.3647059,0.3647059,0.3647059
340,0.37254903,0.37254903,0.37254903
341,0.37254903,0.37254903,0.37254903
342,0.36862746,0.36862746,0.36862746
343,0.36862746,0.36862746,0.36862746
344,0.39607844,0.39607844,0.39607844
345,0.40784314,0.40784314,0.40784314
346,0.42745098,0.42745098,0.42745098
347,0.4392157,0.4392157,0.4392157
348,0.44313726,0.44313726,0.44313726
349,0.44313726,0.44313726,0.44313726
350,0.4392157,0.4392157,0.4392157
351,0.43529412,0.43529412,0.43529412
352,0.4627451,0.4627451,0.4627451
353,0.4627451,0.4627451,0.4627451
354,0.45882353,0.45882353,0.45882353
355,0.4509804,0.4509804,0.4509804
356,0.45490196,0.45490196,0.45490196
357,0.4627451,0.4627451,0.4627451
358,0.4627451,0.4627451,0.4627451
359,0.45882353,0.45882353,0.45882353
360,0.48235294,0.48235294,0.48235294
361,0.45882353,0.45882353,0.45882353
362,0.44705883,0.44705883,0.44705883
363,0.45882353,0.45882353,0.45882353
